"Id","AccountId","LastName","FirstName","Phone","MobilePhone","Email","Title","Department","fleetforce__Contact_Type__c","fleetforce__Driver_Branch__c","fleetforce__Driver_Status__c","fleetforce__License_Class__c","fleetforce__License_Expiry__c","fleetforce__License_Number__c","fleetforce__License_State__c","fleetforce__Medical_Cert__c","fleetforce__Related_User__c","fleetforce__Safety_Score__c","fleetforce__Driver_Branch__r.fleetforce__Branch_ID__c","fleetforce__Related_User__r.Name"
"003Wm00000GFwVbIAL","001Wm00000K802qIAB","Bennett","Chloe","(303) 555-0101","(303) 555-0307","chloe.bennett@fleetforce-demo.com","Route Delivery Specialist","Express Transport","Driver","a0DWm000002RVmiMAG","Active","Class D","2026-09-02","CO-3829104","CO","2026-08-25","#N/A","83","BR-DEN","#N/A"
"003Wm00000GFzd6IAD","001Wm00000K802qIAB","Chen","Samantha","(602) 555-0110","(602) 555-0214","samantha.chen@fleetforce-demo.com","Branch Service Coordinator","Branch Administration","Manager","a0DWm000002RWx7MAG","Active","Class D","2027-08-30","AZ-8321049","AZ","2025-07-20","#N/A","97","BR-PHX","#N/A"
"003Wm00000GG1qDIAT","001Wm00000K802qIAB","Patel","Maya","(404) 555-0101","(404) 555-0302","maya.patel@fleetforce-demo.com","Express Delivery Driver","Express Transport","Driver","a0DWm000002RWttMAG","Active","Class D","2028-09-22","GA-4910283","GA","2025-09-18","#N/A","88","BR-ATL","#N/A"
"003Wm00000GG3C3IAL","001Wm00000K8LJvIAN","Kowalski","Ethan","(303) 555-0101","(303) 555-0306","ethan.kowalski@fleetforce-demo.com","Regional Freight Hauler","Regional Logistics","Driver","a0DWm000002RVmiMAG","Active","Class A CDL","2027-06-11","CO-4920193","CO","2025-06-11","#N/A","91","BR-DEN","#N/A"
"003Wm00000GG3C4IAL","001Wm00000K8LJvIAN","Alvarez","Sophia","(214) 555-0101","(214) 555-0312","sophia.alvarez@fleetforce-demo.com","Interstate Route Driver","Regional Logistics","Driver","a0DWm000002RWvVMAW","Active","Class B CDL","2027-09-08","TX-1829402","TX","2025-09-08","#N/A","90","BR-DAL","#N/A"
"003Wm00000GG3vFIAT","001Wm00000K8LJvIAN","Reed","Jordan","(602) 555-0101","(602) 555-0318","jordan.reed@fleetforce-demo.com","Field Support Courier","Field Services","Driver","a0DWm000002RWx7MAG","Active","Class D","2027-07-22","AZ-8392018","AZ","2025-07-22","#N/A","87","BR-PHX","#N/A"
"003Wm00000GG3vGIAT","001Wm00000K86eIIAR","Santos","Isabella","(602) 555-0101","(602) 555-0319","isabella.santos@fleetforce-demo.com","Express Courier Driver","Express Transport","Driver","a0DWm000002RWx7MAG","Active","Class D","2028-06-30","AZ-2910492","AZ","2026-06-30","#N/A","92","BR-PHX","#N/A"
"003Wm00000GG41fIAD","001Wm00000K86eIIAR","Miller","Jackson","(404) 555-0101","(404) 555-0301","jackson.miller@fleetforce-demo.com","Senior Route Driver","Regional Logistics","Driver","a0DWm000002RWttMAG","Active","Class A CDL","2027-04-15","GA-3829101","GA","2025-04-15","#N/A","92","BR-ATL","#N/A"
"003Wm00000GG41gIAD","001Wm00000K86eIIAR","Navarro","Gabriel","(602) 555-0101","(602) 555-0316","gabriel.navarro@fleetforce-demo.com","Heavy Duty Transport Driver","Regional Logistics","Driver","a0DWm000002RWx7MAG","Active","Class A CDL","2027-05-18","AZ-3920194","AZ","2025-05-18","#N/A","95","BR-PHX","#N/A"
"003Wm00000GG4GEIA1","001Wm00000K8LJuIAN","Moreno","Lucas","(214) 555-0101","(214) 555-0315","lucas.moreno@fleetforce-demo.com","Urban Logistics Courier","Express Transport","Driver","a0DWm000002RWvVMAW","Active","Class D","2027-03-24","TX-2910394","TX","2026-03-24","#N/A","86","BR-DAL","#N/A"
"003Wm00000GG4swIAD","001Wm00000K8LJuIAN","Mansour","Tariq","(303) 555-0101","(303) 555-0308","tariq.mansour@fleetforce-demo.com","Heavy Transport Driver","Regional Logistics","Driver","a0DWm000002RVmiMAG","On Leave","Class A CDL","2028-01-20","CO-7182940","CO","2025-01-20","#N/A","89","BR-DEN","#N/A"
"003Wm00000GG6DBIA1","001Wm00000K8LJuIAN","Gomez","Carlos","(404) 555-0101","(404) 555-0303","carlos.gomez@fleetforce-demo.com","Commercial Freight Driver","Regional Logistics","Driver","a0DWm000002RWttMAG","Active","Class B CDL","2026-08-05","GA-1928472","GA","2026-08-01","#N/A","79","BR-ATL","#N/A"
