"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Actual_Check_In__c","fleetforce__Actual_Check_Out__c","fleetforce__Condition_In__c","fleetforce__Condition_Out__c","fleetforce__Distance_Driven__c","fleetforce__Driver__c","fleetforce__Fuel_Level_In__c","fleetforce__Fuel_Level_Out__c","fleetforce__Has_New_Damage__c","fleetforce__Odometer_End__c","fleetforce__Odometer_Start__c","fleetforce__Origin_Branch__c","fleetforce__Reservation__c","fleetforce__Return_Branch__c","fleetforce__Same_Branch_Return__c","fleetforce__Scheduled_End__c","fleetforce__Scheduled_Start__c","fleetforce__Status__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Driver__r.Email","fleetforce__Origin_Branch__r.fleetforce__Branch_ID__c","fleetforce__Reservation__r.Name","fleetforce__Return_Branch__r.fleetforce__Branch_ID__c"
"a02Wm000005GXJlIAO","ALL-RES-0018","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn134MAA","2026-08-10T16:50:00.000+0000","2026-08-10T08:05:00.000+0000","Returned in excellent condition. Gas tank refilled.","Vehicle inspected clean. No pre-existing body damage.","145","003Wm00000GG41gIAD","78","100","false","22145","22000","a0DWm000002RWvVMAW","a0JWm000000E0ZdMAK","a0DWm000002RWvVMAW","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Completed","User User","User User","FA-0113","gabriel.navarro@fleetforce-demo.com","BR-DAL","RES-0018","BR-DAL"
"a02Wm000005GZgUIAW","ALL-RES-0019","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3shMAA","2026-08-10T16:50:00.000+0000","2026-08-10T08:05:00.000+0000","Returned in excellent condition. Gas tank refilled.","Vehicle inspected clean. No pre-existing body damage.","145","003Wm00000GG8GaIAL","78","100","false","22145","22000","a0DWm000002RVmiMAG","a0JWm000000E0PyMAK","a0DWm000002RVmiMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Completed","User User","User User","FA-0114","derrick.oconnor@fleetforce-demo.com","BR-DEN","RES-0019","BR-DEN"
"a02Wm000005GaW5IAK","ALL-RES-0004","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","#N/A","2026-08-10T08:05:00.000+0000","#N/A","Vehicle inspected clean. No pre-existing body damage.","#N/A","003Wm00000GGAS1IAP","#N/A","100","false","#N/A","22000","a0DWm000002RVmiMAG","a0JWm000000E0HtMAK","a0DWm000002RVmiMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Active","User User","User User","FA-0112","austin.cooper@fleetforce-demo.com","BR-DEN","RES-0004","BR-DEN"
"a02Wm000005GaXhIAK","ALL-RES-0013","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8lfMAA","#N/A","2026-08-10T08:05:00.000+0000","#N/A","Vehicle inspected clean. No pre-existing body damage.","#N/A","003Wm00000GG3C3IAL","#N/A","100","false","#N/A","22000","a0DWm000002RWttMAG","a0JWm000000E0HuMAK","a0DWm000002RWttMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Active","User User","User User","FA-0101","ethan.kowalski@fleetforce-demo.com","BR-ATL","RES-0013","BR-ATL"
"a02Wm000005GaZJIA0","ALL-RES-0011","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:59.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","2026-08-10T16:50:00.000+0000","2026-08-10T08:05:00.000+0000","Returned in excellent condition. Gas tank refilled.","Vehicle inspected clean. No pre-existing body damage.","145","003Wm00000GGAS1IAP","78","100","false","22145","22000","a0DWm000002RWx7MAG","a0JWm000000E0PxMAK","a0DWm000002RWx7MAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Completed","User User","User User","FA-0117","austin.cooper@fleetforce-demo.com","BR-PHX","RES-0011","BR-PHX"
"a02Wm000005GaZKIA0","ALL-RES-0016","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","2026-08-10T16:50:00.000+0000","2026-08-10T08:05:00.000+0000","Returned in excellent condition. Gas tank refilled.","Vehicle inspected clean. No pre-existing body damage.","145","003Wm00000GG41fIAD","78","100","false","22145","22000","a0DWm000002RWttMAG","a0JWm000000E0WPMA0","a0DWm000002RWttMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Completed","User User","User User","FA-0102","jackson.miller@fleetforce-demo.com","BR-ATL","RES-0016","BR-ATL"
"a02Wm000005GaavIAC","ALL-RES-0012","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8qWMAQ","#N/A","2026-08-10T08:05:00.000+0000","#N/A","Vehicle inspected clean. No pre-existing body damage.","#N/A","003Wm00000GG9J5IAL","#N/A","100","false","#N/A","22000","a0DWm000002RWttMAG","a0JWm000000E0RZMA0","a0DWm000002RWttMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Active","User User","User User","FA-0126","aaliyah.jackson@fleetforce-demo.com","BR-ATL","RES-0012","BR-ATL"
"a02Wm000005GacXIAS","ALL-RES-0014","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8tiMAA","#N/A","2026-08-10T08:05:00.000+0000","#N/A","Vehicle inspected clean. No pre-existing body damage.","#N/A","003Wm00000GG8d9IAD","#N/A","100","false","#N/A","22000","a0DWm000002RWvVMAW","a0JWm000000E0TBMA0","a0DWm000002RWvVMAW","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Active","User User","User User","FA-0110","hannah.lindqvist@fleetforce-demo.com","BR-DAL","RES-0014","BR-DAL"
"a02Wm000005Gae9IAC","ALL-RES-0015","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8IeMAI","#N/A","2026-08-10T08:05:00.000+0000","#N/A","Vehicle inspected clean. No pre-existing body damage.","#N/A","003Wm00000GG4swIAD","#N/A","100","false","#N/A","22000","a0DWm000002RWx7MAG","a0JWm000000E0UnMAK","a0DWm000002RWx7MAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Active","User User","User User","FA-0120","tariq.mansour@fleetforce-demo.com","BR-PHX","RES-0015","BR-PHX"
"a02Wm000005GaflIAC","ALL-RES-0017","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:44:00.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","2026-08-10T16:50:00.000+0000","2026-08-10T08:05:00.000+0000","Returned in excellent condition. Gas tank refilled.","Vehicle inspected clean. No pre-existing body damage.","145","003Wm00000GG4GEIA1","78","100","false","22145","22000","a0DWm000002RVmiMAG","a0JWm000000E0Y1MAK","a0DWm000002RVmiMAG","true","2026-08-10T17:00:00.000+0000","2026-08-10T08:00:00.000+0000","Completed","User User","User User","FA-0105","lucas.moreno@fleetforce-demo.com","BR-DEN","RES-0017","BR-DEN"
