"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Driver__c","fleetforce__Has_Key__c","fleetforce__Is_Active__c","fleetforce__Type__c","fleetforce__End_Date__c","fleetforce__Restriction_Notes__c","fleetforce__Start_Date__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Driver__r.Email"
"a06Wm000007PcL1IAK","AUTH-0010","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:38.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","003Wm00000GG6DBIA1","true","true","Primary","2026-10-31","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0105","carlos.gomez@fleetforce-demo.com"
"a06Wm000007PfX6IAK","AUTH-0035","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:42.000+0000","005Wm000002EIUDIA4","a0CWm00000xn4VIMAY","003Wm00000GG97mIAD","true","true","Occasional","#N/A","#N/A","2025-06-01","User User","User User","FA-0119","brooke.sullivan@fleetforce-demo.com"
"a06Wm000007PhgtIAC","AUTH-0022","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8VZMAY","003Wm00000GFwVbIAL","true","true","Primary","#N/A","Automatic transmission only (no manual clutch)","2025-01-10","User User","User User","FA-0112","chloe.bennett@fleetforce-demo.com"
"a06Wm000007PjE2IAK","AUTH-0003","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:37.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8lfMAA","003Wm00000GFwVbIAL","true","true","Occasional","#N/A","Corrective lenses required (glasses/contacts)","2025-06-01","User User","User User","FA-0101","chloe.bennett@fleetforce-demo.com"
"a06Wm000007PjE3IAK","AUTH-0014","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8grMAA","003Wm00000GG8GaIAL","true","true","Primary","#N/A","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0107","derrick.oconnor@fleetforce-demo.com"
"a06Wm000007PjZ2IAK","AUTH-0018","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:39.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8tiMAA","003Wm00000GGAQPIA5","true","true","Primary","2026-11-30","Corrective lenses required (glasses/contacts)","2025-01-10","User User","User User","FA-0110","wyatt.travis@fleetforce-demo.com"
"a06Wm000007PjdrIAC","AUTH-0030","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn7VgMAI","003Wm00000GG4GEIA1","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0116","lucas.moreno@fleetforce-demo.com"
"a06Wm000007PjdsIAC","AUTH-0042","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:43.000+0000","005Wm000002EIUDIA4","a0CWm00000xn1BHMAY","003Wm00000GG8GaIAL","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0123","derrick.oconnor@fleetforce-demo.com"
"a06Wm000007PjqkIAC","AUTH-0021","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:40.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","003Wm00000GFwVbIAL","true","false","Occasional","2026-07-15","Corrective lenses required (glasses/contacts)","2025-06-01","User User","User User","FA-0111","chloe.bennett@fleetforce-demo.com"
"a06Wm000007PkA6IAK","AUTH-0032","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","2026-08-19T07:00:41.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0gZMAQ","003Wm00000GGAOnIAP","true","true","Primary","#N/A","#N/A","2025-01-10","User User","User User","FA-0117","noah.ramirez@fleetforce-demo.com"
