"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Can_Approve__c","fleetforce__Contact__c","fleetforce__Fleet_Branch__c","fleetforce__Is_Primary__c","fleetforce__Role__c","fleetforce__Status__c","fleetforce__Type__c","fleetforce__User__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Contact__r.Email","fleetforce__Fleet_Branch__r.fleetforce__Branch_ID__c","fleetforce__User__r.Name"
"a08Wm000009MUXCIA4","BAN-0017","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8d9IAD","a0DWm000002RVmiMAG","true","Driver","Active","Full Time","#N/A","User User","User User","hannah.lindqvist@fleetforce-demo.com","BR-DEN","#N/A"
"a08Wm000009MUXDIA4","BAN-0023","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3vGIAT","a0DWm000002RWx7MAG","true","Driver","Active","Full Time","#N/A","User User","User User","isabella.santos@fleetforce-demo.com","BR-PHX","#N/A"
"a08Wm000009Mi8ZIAS","BAN-0003","2026-08-20T13:58:22.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:22.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG9J5IAL","a0DWm000002RWvVMAW","true","Driver","Active","Full Time","#N/A","User User","User User","aaliyah.jackson@fleetforce-demo.com","BR-DAL","#N/A"
"a08Wm000009MlPgIAK","BAN-0018","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3vFIAT","a0DWm000002RWx7MAG","true","Driver","Active","Full Time","#N/A","User User","User User","jordan.reed@fleetforce-demo.com","BR-PHX","#N/A"
"a08Wm000009MlaSIAS","BAN-0006","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG6DBIA1","a0DWm000002RWttMAG","true","Driver","On Leave","Full Time","#N/A","User User","User User","carlos.gomez@fleetforce-demo.com","BR-ATL","#N/A"
"a08Wm000009Mlo5IAC","BAN-0005","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG1qDIAT","a0DWm000002RWttMAG","true","Driver","Active","Full Time","#N/A","User User","User User","maya.patel@fleetforce-demo.com","BR-ATL","#N/A"
"a08Wm000009MmAXIA0","BAN-0025","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:26.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAS1IAP","a0DWm000002RWx7MAG","true","Driver","Active","Contractor","#N/A","User User","User User","austin.cooper@fleetforce-demo.com","BR-PHX","#N/A"
"a08Wm000009MmP2IAK","BAN-0009","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:23.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8LPIA1","a0DWm000002RWttMAG","true","Driver","Active","Full Time","#N/A","User User","User User","liam.washington@fleetforce-demo.com","BR-ATL","#N/A"
"a08Wm000009Mmd3IAC","BAN-0011","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:24.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4swIAD","a0DWm000002RVmiMAG","true","Driver","On Leave","Full Time","#N/A","User User","User User","tariq.mansour@fleetforce-demo.com","BR-DEN","#N/A"
"a08Wm000009Mmd4IAC","BAN-0021","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","2026-08-20T13:58:25.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8GaIAL","a0DWm000002RWvVMAW","true","Driver","On Leave","Full Time","#N/A","User User","User User","derrick.oconnor@fleetforce-demo.com","BR-DAL","#N/A"
