"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Admin_Fee__c","fleetforce__Allocation__c","fleetforce__Citation_Date__c","fleetforce__Court_Date__c","fleetforce__Deduct_From_Payroll__c","fleetforce__Driver__c","fleetforce__Fine_Amount__c","fleetforce__Fleet_Asset__c","fleetforce__Issuing_Authority__c","fleetforce__Liability_Status__c","fleetforce__Points__c","fleetforce__Status__c","fleetforce__Ticket_Number__c","fleetforce__Total_Amount__c","fleetforce__US_State__c","fleetforce__Violation_Type__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Allocation__r.Name","fleetforce__Driver__r.Email","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a0AWm0000033NjBMAU","CIT-GA-004","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","25","#N/A","2026-08-02T08:20:00.000+0000","2026-09-12","false","003Wm00000GG97mIAD","50","a0CWm00000xn6SoMAI","State Express Lanes Authority (Peach Pass)","Company Liable","0","Paid","TKT-GA-99404","75","GA","Toll Evasion","User User","User User","#N/A","brooke.sullivan@fleetforce-demo.com","FA-0104"
"a0AWm0000033NjCMAU","CIT-CO-008","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","35","#N/A","2026-08-08T13:40:00.000+0000","2026-09-18","true","003Wm00000GG4swIAD","195","a0CWm00000xn8VZMAY","Jefferson County Sheriff Office","Transferred to Driver","2","New","TKT-CO-88304","230","CO","Speeding","User User","User User","#N/A","tariq.mansour@fleetforce-demo.com","FA-0112"
"a0AWm0000033NjDMAU","CIT-TX-010","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","40","#N/A","2026-07-22T14:15:00.000+0000","2026-09-04","true","003Wm00000GG9J5IAL","240","a0CWm00000xn134MAA","Texas Department of Public Safety (DPS)","Driver Accepted.","2","Paid","TKT-TX-77202","280","TX","Speeding","User User","User User","#N/A","aaliyah.jackson@fleetforce-demo.com","FA-0113"
"a0AWm0000033OgqMAE","CIT-GA-001","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","35","#N/A","2026-07-12T14:30:00.000+0000","2026-08-25","true","003Wm00000GG6DBIA1","220","a0CWm00000xn8lfMAA","Georgia State Patrol - Troop C","Transferred to Driver","2","Liability Transferred","TKT-GA-99401","255","GA","Speeding","User User","User User","#N/A","carlos.gomez@fleetforce-demo.com","FA-0101"
"a0AWm0000033PQ1MAM","CIT-CO-006","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","30","#N/A","2026-07-20T09:30:00.000+0000","2026-09-02","false","003Wm00000GG3C3IAL","120","a0CWm00000xn8grMAA","Denver Police Department - Traffic Division","Company Liable","0","Paid","TKT-CO-88302","150","CO","Expired Tags.","User User","User User","#N/A","ethan.kowalski@fleetforce-demo.com","FA-0107"
"a0AWm0000033PQ2MAM","CIT-TX-011","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","30","#N/A","2026-08-04T12:00:00.000+0000","2026-09-15","true","003Wm00000GG4GEIA1","160","a0CWm00000xn6nAMAQ","City of Dallas Marshal Division","Transferred to Driver","1","Liability Transferred","TKT-TX-77203","190","TX","Red Light Camera","User User","User User","#N/A","lucas.moreno@fleetforce-demo.com","FA-0115"
"a0AWm0000033PmXMAU","CIT-GA-002","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","25","#N/A","2026-07-18T10:15:00.000+0000","2026-08-30","true","003Wm00000GG41fIAD","75","a0CWm00000xmxXYMAY","City of Atlanta Department of Transportation","Driver Accepted.","0","Paid","TKT-GA-99402","100","GA","Parking","User User","User User","#N/A","jackson.miller@fleetforce-demo.com","FA-0102"
"a0AWm0000033Po9MAE","CIT-GA-003","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","25","#N/A","2026-07-25T16:45:00.000+0000","2026-09-05","false","003Wm00000GG1qDIAT","150","a0CWm00000xmy2SMAQ","Fulton County Traffic Enforcement","Transferred to Driver","1","Contested","TKT-GA-99403","175","GA","Red Light Camera","User User","User User","#N/A","maya.patel@fleetforce-demo.com","FA-0103"
"a0AWm0000033PplMAE","CIT-CO-005","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","2026-08-19T20:40:59.000+0000","005Wm000002EIUDIA4","40","#N/A","2026-07-14T11:10:00.000+0000","2026-08-28","true","003Wm00000GFwVbIAL","280","a0CWm00000xn3SnMAI","Colorado State Patrol - District 1","Driver Accepted.","3","Paid","TKT-CO-88301","320","CO","Speeding","User User","User User","#N/A","chloe.bennett@fleetforce-demo.com","FA-0105"
"a0AWm0000033PrNMAU","CIT-CO-007","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","2026-08-19T20:41:00.000+0000","005Wm000002EIUDIA4","20","#N/A","2026-08-01T15:00:00.000+0000","2026-09-10","true","003Wm00000GG8d9IAD","65","a0CWm00000xmuPbMAI","City of Boulder Parking Services","Driver Accepted.","0","Paid","TKT-CO-88303","85","CO","Parking","User User","User User","#N/A","hannah.lindqvist@fleetforce-demo.com","FA-0109"
