"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Assigned_Asset__c","fleetforce__Assigned_Driver__c","fleetforce__Daily_Limit__c","fleetforce__Expiration_Date__c","fleetforce__External_ID__c","fleetforce__Fuel_Type_Allowed__c","fleetforce__Full_Card_Number__c","fleetforce__PIN_Required__c","fleetforce__Provider__c","fleetforce__Status__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Assigned_Asset__r.fleetforce__Asset_ID__c","fleetforce__Assigned_Driver__r.Email"
"a0FWm000001SfccMAC","005Wm000002EIUDIA4","WEX-CARD-009","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG4swIAD","300","2026-09-30","EXT-FC-704188100009","Any.","7041-8810-0009","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","tariq.mansour@fleetforce-demo.com"
"a0FWm000001SfkPMAS","005Wm000002EIUDIA4","WEX-CARD-001","2026-08-19T20:43:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:33.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG3C4IAL","500","2027-12-31","EXT-FC-704188100001","Any.","7041-8810-0001","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","sophia.alvarez@fleetforce-demo.com"
"a0FWm000001Sfm1MAC","005Wm000002EIUDIA4","WEX-CARD-002","2026-08-19T20:43:33.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:33.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GFwVbIAL","500","2027-12-31","EXT-FC-704188100002","Unleaded Only","7041-8810-0002","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","chloe.bennett@fleetforce-demo.com"
"a0FWm000001SfndMAC","005Wm000002EIUDIA4","WEX-CARD-003","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GGAS1IAP","750","2027-12-31","EXT-FC-704188100003","Diesel Only","7041-8810-0003","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","austin.cooper@fleetforce-demo.com"
"a0FWm000001SfpFMAS","005Wm000002EIUDIA4","WEX-CARD-004","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG6DBIA1","500","2027-12-31","EXT-FC-704188100004","Any.","7041-8810-0004","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","carlos.gomez@fleetforce-demo.com"
"a0FWm000001SfqrMAC","005Wm000002EIUDIA4","WEX-CARD-005","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG9J5IAL","600","2027-12-31","EXT-FC-704188100005","Any.","7041-8810-0005","true","Comdata Commercial","Active","User User","User User","User User","#N/A","aaliyah.jackson@fleetforce-demo.com"
"a0FWm000001SfsTMAS","005Wm000002EIUDIA4","WEX-CARD-006","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GGAOoIAP","600","2027-12-31","EXT-FC-704188100006","Diesel Only","7041-8810-0006","true","Comdata Commercial","Active","User User","User User","User User","#N/A","zoe.kaufman@fleetforce-demo.com"
"a0FWm000001Sfu5MAC","005Wm000002EIUDIA4","WEX-CARD-007","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG3C3IAL","400","2027-12-31","EXT-FC-704188100007","Unleaded Only","7041-8810-0007","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","ethan.kowalski@fleetforce-demo.com"
"a0FWm000001SfvhMAC","005Wm000002EIUDIA4","WEX-CARD-008","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:34.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG8d9IAD","500","2027-12-31","EXT-FC-704188100008","Any.","7041-8810-0008","true","WEX Commercial Fleet","Active","User User","User User","User User","#N/A","hannah.lindqvist@fleetforce-demo.com"
"a0FWm000001SfxJMAS","005Wm000002EIUDIA4","WEX-CARD-010","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG41fIAD","500","2025-12-31","EXT-FC-704188100010","Any.","7041-8810-0010","true","WEX Commercial Fleet","Expired","User User","User User","User User","#N/A","jackson.miller@fleetforce-demo.com"
"a0FWm000001SfyvMAC","005Wm000002EIUDIA4","WEX-CARD-011","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG4GEIA1","500","2027-12-31","EXT-FC-704188100011","Any.","7041-8810-0011","true","Comdata Commercial","Suspended","User User","User User","User User","#N/A","lucas.moreno@fleetforce-demo.com"
"a0FWm000001Sg0XMAS","005Wm000002EIUDIA4","WEX-CARD-012","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","#N/A","003Wm00000GG41gIAD","500","2027-12-31","EXT-FC-70418810012","Any.","7041-8810-012","true","WEX Commercial Fleet","Lost/Stolen","User User","User User","User User","#N/A","gabriel.navarro@fleetforce-demo.com"
