"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Anomaly_Detected__c","fleetforce__Driver__c","fleetforce__External_ID__c","fleetforce__Fleet_Asset__c","fleetforce__Fuel_Card__c","fleetforce__Fuel_Economy__c","fleetforce__Full_Tank__c","fleetforce__Odometer__c","fleetforce__Product_Type__c","fleetforce__Receipt_URL__c","fleetforce__Station_Geo__Latitude__s","fleetforce__Station_Geo__Longitude__s","fleetforce__Tax_Amount__c","fleetforce__Transaction_Date__c","fleetforce__Trip_Distance__c","fleetforce__UOM__c","fleetforce__Unit_Cost__c","fleetforce__Vendor_Name__c","fleetforce__Volume__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Driver__r.Email","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Fuel_Card__r.Name"
"a0GWm000000f4FmMAI","FL-FA-0106-1012","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8GaIAL","EXT-FL-FA-0106-1012","a0CWm00000xn3SoMAI","a0FWm000001SfkPMAS","20.2","true","11400","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0106.pdf","#N/A","#N/A","4.91","2026-08-14T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","derrick.oconnor@fleetforce-demo.com","FA-0106","WEX-CARD-001"
"a0GWm000000f4FnMAI","FL-FA-0114-1013","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:37.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG1qDIAT","EXT-FL-FA-0114-1013","a0CWm00000xn3shMAA","a0FWm000001Sfm1MAC","20.2","true","31400","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0114.pdf","#N/A","#N/A","4.91","2026-08-15T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","maya.patel@fleetforce-demo.com","FA-0114","WEX-CARD-002"
"a0GWm000000f4cLMAQ","FL-FA-0109-1000","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C4IAL","EXT-FL-FA-0109-1000","a0CWm00000xmuPbMAI","a0FWm000001SfkPMAS","20.2","true","15","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0109.pdf","#N/A","#N/A","4.91","2026-08-10T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","sophia.alvarez@fleetforce-demo.com","FA-0109","WEX-CARD-001"
"a0GWm000000f4dxMAA","FL-FA-0108-1001","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","false","003Wm00000GFwVbIAL","EXT-FL-FA-0108-1001","a0CWm00000xmwMdMAI","a0FWm000001Sfm1MAC","13.9","true","58200","Diesel","https://www.fleetforce-demo.com/receipts/FL-FA-0108.pdf","#N/A","#N/A","8.33","2026-08-11T11:30:00.000+0000","340","Gallons (US)","4.25","Love's Travel Stop #482","24.5","User User","User User","chloe.bennett@fleetforce-demo.com","FA-0108","WEX-CARD-002"
"a0GWm000000f4fZMAQ","FL-FA-0102-1002","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAS1IAP","EXT-FL-FA-0102-1002","a0CWm00000xmxXYMAY","a0FWm000001SfndMAC","20.2","true","38100","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0102.pdf","#N/A","#N/A","4.91","2026-08-12T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","austin.cooper@fleetforce-demo.com","FA-0102","WEX-CARD-003"
"a0GWm000000f4hBMAQ","FL-FA-0103-1003","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG6DBIA1","EXT-FL-FA-0103-1003","a0CWm00000xmy2SMAQ","a0FWm000001SfpFMAS","3.8","true","8900","Electric Charge.","https://www.fleetforce-demo.com/receipts/FL-FA-0103.pdf","#N/A","#N/A","0.84","2026-08-13T11:30:00.000+0000","340","kWh.","0.18","ChargePoint Commercial Depot (Atlanta Hub)","58.5","User User","User User","carlos.gomez@fleetforce-demo.com","FA-0103","WEX-CARD-004"
"a0GWm000000f4inMAA","FL-FA-0122-1004","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:35.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG9J5IAL","EXT-FL-FA-0122-1004","a0CWm00000xmy2TMAQ","a0FWm000001SfqrMAC","20.2","true","10500","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0122.pdf","#N/A","#N/A","4.91","2026-08-14T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","aaliyah.jackson@fleetforce-demo.com","FA-0122","WEX-CARD-005"
"a0GWm000000f4kPMAQ","FL-FA-0129-1005","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GGAOoIAP","EXT-FL-FA-0129-1005","a0CWm00000xmy79MAA","a0FWm000001SfsTMAS","20.2","true","47200","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0129.pdf","#N/A","#N/A","4.91","2026-08-15T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","zoe.kaufman@fleetforce-demo.com","FA-0129","WEX-CARD-006"
"a0GWm000000f4m1MAA","FL-FA-0132-1006","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG3C3IAL","EXT-FL-FA-0132-1006","a0CWm00000xmy7AMAQ","a0FWm000001Sfu5MAC","20.2","true","49800","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0132.pdf","#N/A","#N/A","4.91","2026-08-16T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","ethan.kowalski@fleetforce-demo.com","FA-0132","WEX-CARD-007"
"a0GWm000000f4ndMAA","FL-FA-0117-1007","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG8d9IAD","EXT-FL-FA-0117-1007","a0CWm00000xn0gZMAQ","a0FWm000001SfvhMAC","20.2","true","21900","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0117.pdf","#N/A","#N/A","4.91","2026-08-17T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","hannah.lindqvist@fleetforce-demo.com","FA-0117","WEX-CARD-008"
"a0GWm000000f4pFMAQ","FL-FA-0111-1008","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG4swIAD","EXT-FL-FA-0111-1008","a0CWm00000xn0l1MAA","a0FWm000001SfccMAC","3.8","true","14200","Electric Charge.","https://www.fleetforce-demo.com/receipts/FL-FA-0111.pdf","#N/A","#N/A","0.84","2026-08-10T11:30:00.000+0000","340","kWh.","0.18","ChargePoint Commercial Depot (Atlanta Hub)","58.5","User User","User User","tariq.mansour@fleetforce-demo.com","FA-0111","WEX-CARD-009"
"a0GWm000000f4qrMAA","FL-FA-0113-1009","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","2026-08-19T20:43:36.000+0000","005Wm000002EIUDIA4","false","003Wm00000GG41fIAD","EXT-FL-FA-0113-1009","a0CWm00000xn134MAA","a0FWm000001SfxJMAS","20.2","true","45600","Petrol","https://www.fleetforce-demo.com/receipts/FL-FA-0113.pdf","#N/A","#N/A","4.91","2026-08-11T11:30:00.000+0000","340","Gallons (US)","3.65","Chevron Commercial Station #1092","16.8","User User","User User","jackson.miller@fleetforce-demo.com","FA-0113","WEX-CARD-010"
