"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Driver__c","fleetforce__Fleet_Asset__c","fleetforce__Fleet_Branch__c","fleetforce__Fleet_Schedule__c","fleetforce__Priority__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Driver__r.Email","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Fleet_Branch__r.fleetforce__Branch_ID__c","fleetforce__Fleet_Schedule__r.Name"
"a0KWm0000059QRqMAM","ASN-0012","2026-08-20T14:18:01.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:01.000+0000","005Wm000002EIUDIA4","003Wm00000GG3C4IAL","a0CWm00000xn6SoMAI","a0DWm000002RWvVMAW","a0EWm000000j9wvMAA","1","User User","User User","sophia.alvarez@fleetforce-demo.com","FA-0104","BR-DAL","Standard Business Hours (Eastern)"
"a0KWm0000059RnjMAE","ASN-0006","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG6DBIA1","a0CWm00000xmy2SMAQ","a0DWm000002RWttMAG","a0EWm000000jEBhMAM","1","User User","User User","carlos.gomez@fleetforce-demo.com","FA-0103","BR-ATL","24/7 Continuous Operations"
"a0KWm0000059RnkMAE","ASN-0008","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GFwVbIAL","a0CWm00000xn3SnMAI","a0DWm000002RVmiMAG","a0EWm000000jArLMAU","1","User User","User User","chloe.bennett@fleetforce-demo.com","FA-0105","BR-DEN","Extended Mountain Field Support"
"a0KWm0000059SNCMA2","ASN-0010","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG4GEIA1","a0CWm00000xn8tiMAA","a0DWm000002RWvVMAW","a0EWm000000jEBhMAM","1","User User","User User","lucas.moreno@fleetforce-demo.com","FA-0110","BR-DAL","24/7 Continuous Operations"
"a0KWm0000059SYTMA2","ASN-0002","2026-08-20T14:17:59.000+0000","005Wm000002EIUDIA4","2026-08-20T14:17:59.000+0000","005Wm000002EIUDIA4","003Wm00000GG8d9IAD","a0CWm00000xn8VZMAY","a0DWm000002RVmiMAG","a0EWm000000jArLMAU","2","User User","User User","hannah.lindqvist@fleetforce-demo.com","FA-0112","BR-DEN","Extended Mountain Field Support"
"a0KWm0000059Sa5MAE","ASN-0003","2026-08-20T14:17:59.000+0000","005Wm000002EIUDIA4","2026-08-20T14:17:59.000+0000","005Wm000002EIUDIA4","003Wm00000GG1qDIAT","a0CWm00000xn8lfMAA","a0DWm000002RWttMAG","a0EWm000000j9wvMAA","1","User User","User User","maya.patel@fleetforce-demo.com","FA-0101","BR-ATL","Standard Business Hours (Eastern)"
"a0KWm0000059SbhMAE","ASN-0004","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG3vFIAT","a0CWm00000xn8IeMAI","a0DWm000002RWx7MAG","a0EWm000000jEDJMA2","1","User User","User User","jordan.reed@fleetforce-demo.com","FA-0120","BR-PHX","Southwest Express Logistics Hours"
"a0KWm0000059SbiMAE","ASN-0011","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG4swIAD","a0CWm00000xn0l1MAA","a0DWm000002RVmiMAG","a0EWm000000jEBhMAM","1","User User","User User","tariq.mansour@fleetforce-demo.com","FA-0111","BR-DEN","24/7 Continuous Operations"
"a0KWm0000059SdJMAU","ASN-0005","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG41fIAD","a0CWm00000xmxXYMAY","a0DWm000002RWttMAG","a0EWm000000j9wvMAA","1","User User","User User","jackson.miller@fleetforce-demo.com","FA-0102","BR-ATL","Standard Business Hours (Eastern)"
"a0KWm0000059SevMAE","ASN-0007","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","2026-08-20T14:18:00.000+0000","005Wm000002EIUDIA4","003Wm00000GG8LPIA1","a0CWm00000xn3SoMAI","a0DWm000002RWttMAG","a0EWm000000j9wvMAA","2","User User","User User","liam.washington@fleetforce-demo.com","FA-0106","BR-ATL","Standard Business Hours (Eastern)"
