"Id","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Fleet_Asset__c","fleetforce__Actual_End__c","fleetforce__Actual_Start__c","fleetforce__Category__c","fleetforce__Date_Reported__c","fleetforce__Description__c","fleetforce__Due_Date__c","fleetforce__Fixed_Cost__c","fleetforce__Is_Labor_Taxable__c","fleetforce__Misc_Fees__c","fleetforce__Odometer__c","fleetforce__Priority__c","fleetforce__Reported_By__c","fleetforce__Scheduled_End__c","fleetforce__Scheduled_Start__c","fleetforce__Status__c","fleetforce__Summary__c","fleetforce__Tax_Rate__c","fleetforce__Total_Labor_Cost__c","fleetforce__Total_Parts_Cost__c","fleetforce__Vendor__c","fleetforce__Violation_Source__c","fleetforce__Grand_Total__c","fleetforce__In_Shop__c","fleetforce__Approval_Status__c","fleetforce__Approved_By__c","fleetforce__Approval_Notes__c","fleetforce__Reviewed_On__c","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c","fleetforce__Reported_By__r.Email","fleetforce__Violation_Source__r.Name","fleetforce__Approved_By__r.Name"
"a0OWm000000RLZpMAO","ST-0008","2026-08-19T07:11:28.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:53.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8lfMAA","2026-07-10","2026-07-10","Preventive Maintenance","2026-07-08T09:30:00.000+0000","Standard 20,000-mile factory service: engine oil & filter replacement, air filter inspection, tire rotation, and 30-point safety check.","2026-07-10","#N/A","false","15","20140","Medium","003Wm00000GG3C4IAL","2026-07-10","2026-07-10","Completed","Oil Change & 20,000 Mile Inspection","7","180","95","001Wm00000K802qIAB","#N/A","297.7","false","Approved","005Wm000002EIUDIA4","Routine preventative maintenance approved under standard rate schedule.","2026-07-08T14:10:00.000+0000","User User","User User","FA-0101","sophia.alvarez@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLbRMAW","ST-0009","2026-08-19T07:11:28.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","a0CWm00000xmxXYMAY","2026-07-15","2026-07-14","Preventive Maintenance","2026-07-12T11:00:00.000+0000","Full automatic transmission fluid flush, pan gasket and filter replacement. Road test conducted; shift timing within OEM spec.","2026-07-15","#N/A","false","20","38100","Medium","003Wm00000GFwVbIAL","2026-07-15","2026-07-14","Completed","Transmission Fluid Flush & Service","7","220","105","001Wm00000K802qIAB","#N/A","353.75","false","Approved","005Wm000002EIUDIA4","Preventative drivetrain service approved.","2026-07-12T16:30:00.000+0000","User User","User User","FA-0102","chloe.bennett@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLd3MAG","ST-0010","2026-08-19T07:11:28.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","a0CWm00000xmy2SMAQ","2026-08-17","2026-08-16","Telemetry Alert","2026-08-16T11:25:00.000+0000","Triggered by telemetry diagnostic fault P0300 (Random Misfire). Replaced all 8 iridium spark plugs and cylinder #4 ignition coil.","2026-08-17","#N/A","true","25","44250","Critical","003Wm00000GGAS1IAP","2026-08-17","2026-08-16","Completed","Engine Misfire Diagnostic & Spark Plug Replacement","8","380","240","001Wm00000K802rIAB","a0RWm000001Y4dJMAS","696.6","false","Approved","005Wm000002EIUDIA4","Critical telemetry fault diagnostic & expedited repair authorized.","2026-08-16T11:45:00.000+0000","User User","User User","FA-0103","austin.cooper@fleetforce-demo.com","VIO-0002","User User"
"a0OWm000000RLefMAG","ST-0011","2026-08-19T07:11:28.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","a0CWm00000xn6SoMAI","2026-07-18","2026-07-18","Corrective Repair","2026-07-16T14:15:00.000+0000","Front brake pads measured below 3mm. Installed heavy-duty ceramic pads, new vented rotors, and flushed brake hydraulic circuit.","2026-07-18","#N/A","false","20","31500","High","003Wm00000GG6DBIA1","2026-07-18","2026-07-18","Completed","Front Brake Pad & Rotor Replacement","7.5","280","310","001Wm00000K8LJuIAN","#N/A","634.75","false","Approved","005Wm000002EIUDIA4","Safety-critical brake wear replacement approved.","2026-07-16T17:00:00.000+0000","User User","User User","FA-0104","carlos.gomez@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLgHMAW","ST-0012","2026-08-19T07:11:28.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SnMAI","2026-07-22","2026-07-22","Inspection","2026-07-20T08:45:00.000+0000","State annual vehicle safety and emissions compliance inspection. All lighting, tires, horn, wipers, and OBD-II monitors passed.","2026-07-22","#N/A","false","0","27800","Low","003Wm00000GG9J5IAL","2026-07-22","2026-07-22","Completed","Annual Safety & Emissions Inspection","7","120","0","001Wm00000K802qIAB","#N/A","120","false","Approved","005Wm000002EIUDIA4","Mandatory state regulatory compliance inspection.","2026-07-20T10:30:00.000+0000","User User","User User","FA-0105","aaliyah.jackson@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLhtMAG","ST-0013","2026-08-19T07:11:29.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:54.000+0000","005Wm000002EIUDIA4","a0CWm00000xn3SoMAI","2026-07-25","2026-07-25","Preventive Maintenance","2026-07-23T10:00:00.000+0000","10,000-mile intermediate service: synthetic oil change, tire rotation, tire pressure sensor recalibration, fluid top-up.","2026-07-25","#N/A","false","10","10250","Low","003Wm00000GGAOoIAP","2026-07-25","2026-07-25","Completed","10,000 Mile Scheduled Service","7","150","65","001Wm00000K802qIAB","#N/A","230.25","false","Approved","005Wm000002EIUDIA4","Standard interval maintenance approved.","2026-07-23T13:15:00.000+0000","User User","User User","FA-0106","zoe.kaufman@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLjVMAW","ST-0014","2026-08-19T07:11:29.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","a0CWm00000xn8grMAA","2026-07-29","2026-07-28","Corrective Repair","2026-07-26T15:30:00.000+0000","HVAC blowing warm air. Evacuated system, replaced punctured A/C condenser coil, recharged with R-1234yf refrigerant and dye.","2026-07-29","#N/A","true","35","35400","Medium","003Wm00000GG3C3IAL","2026-07-29","2026-07-28","Completed","A/C Condenser & Refrigerant Recharge","8","320","410","001Wm00000K8LJvIAN","#N/A","826.2","false","Approved","005Wm000002EIUDIA4","Summer driver cabin cooling repair authorized.","2026-07-26T16:45:00.000+0000","User User","User User","FA-0107","ethan.kowalski@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLl7MAG","ST-0015","2026-08-19T07:11:29.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","a0CWm00000xmwMdMAI","2026-08-02","2026-08-01","Corrective Repair","2026-07-30T08:00:00.000+0000","Diesel Particulate Filter (DPF) differential pressure high. Performed off-vehicle ultrasonic soot cleaning and forced stationary regen.","2026-08-02","#N/A","false","45","52300","High","003Wm00000GG8d9IAD","2026-08-02","2026-08-01","Completed","Commercial Truck DPF Regeneration & Service","7.5","650","380","001Wm00000K8LJuIAN","#N/A","1106.88","false","Approved","005Wm000002EIUDIA4","Commercial diesel emissions overhaul authorized.","2026-07-30T11:00:00.000+0000","User User","User User","FA-0108","hannah.lindqvist@fleetforce-demo.com","#N/A","User User"
"a0OWm000000RLmjMAG","ST-0016","2026-08-19T07:11:29.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","a0CWm00000xmuPbMAI","2026-08-14","2026-08-12","Telemetry Alert","2026-08-12T14:50:00.000+0000","Triggered by telemetry overtemp alert (242°F). Replaced seized mechanical thermostat, upper radiator hose, and pressure tested cap.","2026-08-14","#N/A","true","30","41200","Critical","003Wm00000GG4swIAD","2026-08-14","2026-08-12","Completed","Cooling System Overhaul & Thermostat Replacement","8.25","420","290","001Wm00000K8LJuIAN","a0RWm000001Y4evMAC","801.05","false","Approved","005Wm000002EIUDIA4","Emergency overtemp breakdown repair authorized.","2026-08-12T15:10:00.000+0000","User User","User User","FA-0109","tariq.mansour@fleetforce-demo.com","VIO-0003","User User"
"a0OWm000000RLoLMAW","ST-0017","2026-08-19T07:11:30.000+0000","005Wm000002EIUDIA4","2026-08-19T07:36:55.000+0000","005Wm000002EIUDIA4","a0CWm00000xn0l1MAA","2026-08-04","2026-08-04","Preventive Maintenance","2026-08-02T09:15:00.000+0000","High-voltage traction battery pack state of health (SOH) diagnostic: cell balance within 0.02V, cooling loop flushed, software BMS updated.","2026-08-04","#N/A","false","15","18400","Medium","003Wm00000GG41fIAD","2026-08-04","2026-08-04","Completed","EV Battery Health & High-Voltage Check","7","260","45","001Wm00000K802rIAB","#N/A","324.2","false","Approved","005Wm000002EIUDIA4","Routine EV high-voltage system certification.","2026-08-02T14:00:00.000+0000","User User","User User","FA-0111","jackson.miller@fleetforce-demo.com","#N/A","User User"
