"Id","OwnerId","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","fleetforce__Driver__c","fleetforce__Equipment__c","fleetforce__Fleet_Asset__c","fleetforce__Is_Ack__c","fleetforce__Limit__c","fleetforce__Location__Latitude__s","fleetforce__Location__Longitude__s","fleetforce__Notes__c","fleetforce__Severity__c","fleetforce__Timestamp__c","fleetforce__Type__c","fleetforce__Value__c","Owner.Name","CreatedBy.Name","LastModifiedBy.Name","fleetforce__Driver__r.Email","fleetforce__Equipment__r.Name","fleetforce__Fleet_Asset__r.fleetforce__Asset_ID__c"
"a0RWm000001Y1p9MAC","005Wm000002EIUDIA4","VIO-0014","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GG1qDIAT","#N/A","a0CWm00000xn8IeMAI","false","#N/A","#N/A","#N/A","#N/A","Medium","2026-08-08T09:20:00.000+0000","Speeding","74 mph (Speed Limit: 60 mph)","User User","User User","User User","maya.patel@fleetforce-demo.com","#N/A","FA-0120"
"a0RWm000001Y2BkMAK","005Wm000002EIUDIA4","VIO-0008","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","003Wm00000GG6DBIA1","#N/A","a0CWm00000xn6SoMAI","true","#N/A","#N/A","#N/A","#N/A","High","2026-08-03T10:15:00.000+0000","Harsh Braking","-11.8 mph/s Deceleration","User User","User User","User User","carlos.gomez@fleetforce-demo.com","#N/A","FA-0104"
"a0RWm000001Y2LPMA0","005Wm000002EIUDIA4","VIO-0012","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:18.000+0000","005Wm000002EIUDIA4","003Wm00000GG3C3IAL","#N/A","a0CWm00000xn8grMAA","false","#N/A","#N/A","#N/A","#N/A","Medium","2026-08-06T16:10:00.000+0000","Harsh Acceleration","+8.9 mph/s Acceleration","User User","User User","User User","ethan.kowalski@fleetforce-demo.com","#N/A","FA-0107"
"a0RWm000001Y2LQMA0","005Wm000002EIUDIA4","VIO-0019","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","003Wm00000GG97mIAD","#N/A","a0CWm00000xn4VJMAY","false","#N/A","#N/A","#N/A","#N/A","Low","2026-07-27T10:05:00.000+0000","Harsh Acceleration","+7.1 mph/s Acceleration","User User","User User","User User","brooke.sullivan@fleetforce-demo.com","#N/A","FA-0121"
"a0RWm000001Y2OcMAK","005Wm000002EIUDIA4","VIO-0005","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","003Wm00000GG8GaIAL","#N/A","a0CWm00000xn890MAA","true","#N/A","#N/A","#N/A","#N/A","Critical","2026-08-11T16:30:00.000+0000","Speeding","92 mph (Speed Limit: 65 mph)","User User","User User","User User","derrick.oconnor@fleetforce-demo.com","#N/A","FA-0125"
"a0RWm000001Y36AMAS","005Wm000002EIUDIA4","VIO-0015","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:19.000+0000","005Wm000002EIUDIA4","003Wm00000GGAOnIAP","#N/A","a0CWm00000xn42cMAA","false","#N/A","#N/A","#N/A","#N/A","Medium","2026-07-29T14:50:00.000+0000","Harsh Braking","-8.5 mph/s Deceleration","User User","User User","User User","noah.ramirez@fleetforce-demo.com","#N/A","FA-0124"
"a0RWm000001Y4dJMAS","005Wm000002EIUDIA4","VIO-0002","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","003Wm00000GFwVbIAL","#N/A","a0CWm00000xmy2SMAQ","false","#N/A","#N/A","#N/A","#N/A","Critical","2026-08-16T11:20:00.000+0000","Diagnostic Fault","P0300 Engine Misfire Detected","User User","User User","User User","chloe.bennett@fleetforce-demo.com","#N/A","FA-0103"
"a0RWm000001Y4evMAC","005Wm000002EIUDIA4","VIO-0003","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","003Wm00000GG9J5IAL","#N/A","a0CWm00000xmuPbMAI","true","#N/A","#N/A","#N/A","#N/A","Critical","2026-08-12T14:45:00.000+0000","Engine Overtemp","242°F Coolant Temp Alert","User User","User User","User User","aaliyah.jackson@fleetforce-demo.com","#N/A","FA-0109"
"a0RWm000001Y4gXMAS","005Wm000002EIUDIA4","VIO-0004","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:16.000+0000","005Wm000002EIUDIA4","003Wm00000GG8d9IAD","#N/A","a0CWm00000xn0gZMAQ","true","#N/A","#N/A","#N/A","#N/A","Critical","2026-08-14T09:15:00.000+0000","Diagnostic Fault","P0420 Catalyst System Below Threshold","User User","User User","User User","hannah.lindqvist@fleetforce-demo.com","#N/A","FA-0117"
"a0RWm000001Y4i9MAC","005Wm000002EIUDIA4","VIO-0006","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","2026-08-19T07:08:17.000+0000","005Wm000002EIUDIA4","003Wm00000GG3vFIAT","#N/A","a0CWm00000xn7w9MAA","true","#N/A","#N/A","#N/A","#N/A","Critical","2026-08-15T08:05:00.000+0000","Diagnostic Fault","P0087 Fuel Rail Pressure Low","User User","User User","User User","jordan.reed@fleetforce-demo.com","#N/A","FA-0128"
